tournament_id,year,team_name,matches,wins,losses,draws,goals_for,goals_against,goal_difference,knockout_matches,win_rate,goals_for_per_match,goals_against_per_match,team_id,team_code,region_name,confederation_code,is_host,position,performance,stage_score_from_label,stage_score,stage_reached,champion,finalist,semifinalist,reached_knockout,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,historical_best_stage_before
WC-1934,1934,Brazil,1,0,1,0,1,3,-2,1,0.0,1.0,3.0,T-09,BRA,South America,CONMEBOL,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,0,,,,,,1,2,1,1
WC-1938,1938,Brazil,5,3,1,1,14,11,3,5,0.6,2.8,2.2,T-09,BRA,South America,CONMEBOL,0,3.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,0,,,,,,2,3,1,2
WC-1950,1950,Brazil,6,4,1,1,22,6,16,0,0.6666666666666666,3.6666666666666665,1.0,T-09,BRA,South America,CONMEBOL,1,2.0,final round,5,5,Final,0,1,1,1,4,1.75,0.5,0.5,2.75,2.25,3,8,4,4
WC-1954,1954,Brazil,3,1,1,1,8,5,3,1,0.3333333333333333,2.6666666666666665,1.6666666666666667,T-09,BRA,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,4,3.0,1.0,1.75,2.0,0.25,4,14,8,5
WC-1958,1958,Brazil,6,5,0,1,16,4,12,3,0.8333333333333334,2.6666666666666665,0.6666666666666666,T-09,BRA,South America,CONMEBOL,0,1.0,final,5,6,Champion,1,1,1,1,10,2.0,0.6,1.4,2.1,0.7,5,17,9,5
WC-1962,1962,Brazil,6,5,0,1,14,5,9,3,0.8333333333333334,2.3333333333333335,0.8333333333333334,T-09,BRA,South America,CONMEBOL,0,1.0,final,5,6,Champion,1,1,1,1,7,3.0,1.0,2.4285714285714284,3.142857142857143,0.7142857142857143,6,23,14,6
WC-1966,1966,Brazil,3,1,2,0,4,6,-2,0,0.3333333333333333,1.3333333333333333,2.0,T-09,BRA,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,17,2.3529411764705883,0.7058823529411765,1.2352941176470589,2.2941176470588234,1.0588235294117647,7,29,19,6
WC-1970,1970,Brazil,6,6,0,0,19,7,12,3,1.0,3.1666666666666665,1.1666666666666667,T-09,BRA,South America,CONMEBOL,0,1.0,final,5,6,Champion,1,1,1,1,13,2.6153846153846154,0.8461538461538461,2.1538461538461537,2.6923076923076925,0.5384615384615384,8,32,20,6
WC-1974,1974,Brazil,7,3,2,2,6,4,2,1,0.42857142857142855,0.8571428571428571,0.5714285714285714,T-09,BRA,South America,CONMEBOL,0,4.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,15,2.2666666666666666,0.6666666666666666,0.9333333333333333,1.4,0.4666666666666667,9,38,26,6
WC-1978,1978,Brazil,7,4,0,3,10,3,7,1,0.5714285714285714,1.4285714285714286,0.42857142857142855,T-09,BRA,South America,CONMEBOL,0,3.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,13,2.0,0.5384615384615384,1.3846153846153846,1.8461538461538463,0.46153846153846156,10,45,29,6
