year,tournament_id,team_name,confederation_code,is_host,matches,wins,losses,draws,goals_for,goals_against,goal_difference,win_rate,goals_for_per_match,goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,performance,stage_reached,stage_score,champion,finalist,semifinalist,reached_knockout
2022,WC-2022,Portugal,UEFA,0,5,3,2,0,12,6,6,0.6,2.4,1.2,7,30,15,9,2.111111111111111,0.6666666666666666,1.7777777777777777,quarter-finals,Quarter-finals,3,0,0,0,1
2022,WC-2022,Qatar,AFC,1,3,0,3,0,1,7,-6,0.0,0.3333333333333333,2.3333333333333335,0,0,0,14,2.142857142857143,0.6428571428571429,0.9285714285714286,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Saudi Arabia,AFC,0,3,1,2,0,3,5,-2,0.3333333333333333,1.0,1.6666666666666667,5,16,3,17,1.1176470588235294,0.23529411764705882,-0.17647058823529413,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Senegal,CAF,0,4,2,2,0,5,7,-2,0.5,1.25,1.75,2,8,3,16,1.875,0.5,0.6875,round of 16,Round of 16 / second group,2,0,0,0,1
2022,WC-2022,Serbia,UEFA,0,3,0,2,1,5,8,-3,0.0,1.6666666666666667,2.6666666666666665,2,6,2,9,2.111111111111111,0.6666666666666666,1.1111111111111112,group stage,Group stage,1,0,0,0,0
2022,WC-2022,South Korea,AFC,0,4,1,2,1,5,8,-3,0.25,1.25,2.0,10,34,7,16,2.1875,0.6875,1.125,round of 16,Round of 16 / second group,2,0,0,0,1
2022,WC-2022,Spain,UEFA,0,4,1,2,1,9,3,6,0.25,2.25,0.75,15,63,31,9,2.2222222222222223,0.6666666666666666,1.2222222222222223,round of 16,Round of 16 / second group,2,0,0,0,1
2022,WC-2022,Switzerland,UEFA,0,4,2,2,0,5,9,-4,0.5,1.25,2.25,11,37,12,9,1.1111111111111112,0.3333333333333333,-0.6666666666666666,round of 16,Round of 16 / second group,2,0,0,0,1
2022,WC-2022,Tunisia,CAF,0,3,1,1,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,15,2,20,1.9,0.6,0.7,group stage,Group stage,1,0,0,0,0
2022,WC-2022,United States,CONCACAF,0,4,1,1,2,3,4,-1,0.25,0.75,1.0,10,33,8,13,1.6923076923076923,0.46153846153846156,0.8461538461538461,round of 16,Round of 16 / second group,2,0,0,0,1
2022,WC-2022,Uruguay,CONMEBOL,0,3,1,1,1,2,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,13,56,25,9,2.4444444444444446,0.7777777777777778,1.7777777777777777,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Wales,UEFA,0,3,0,2,1,1,6,-5,0.0,0.3333333333333333,2.0,1,5,1,9,0.8888888888888888,0.2222222222222222,-0.3333333333333333,group stage,Group stage,1,0,0,0,0
