key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,year
68,WC-1950,1950 FIFA Men's World Cup,M-1950-15,Uruguay vs Bolivia,group stage,Group 4,1,0,0,0,1950-07-02,15:00,S-007,Estádio Independência,Belo Horizonte,Brazil,T-84,Uruguay,URY,T-07,Bolivia,BOL,8–0,8,0,8,-8,0,0,0-0,0,0,home team win,1,0,0,1950
69,WC-1950,1950 FIFA Men's World Cup,M-1950-16,Switzerland vs Mexico,group stage,Group 1,1,0,0,0,1950-07-02,15:40,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,T-75,Switzerland,CHE,T-46,Mexico,MEX,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1950
70,WC-1950,1950 FIFA Men's World Cup,M-1950-17,Brazil vs Sweden,final round,not applicable,1,0,0,0,1950-07-09,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-09,Brazil,BRA,T-74,Sweden,SWE,7–1,7,1,6,-6,0,0,0-0,0,0,home team win,1,0,0,1950
71,WC-1950,1950 FIFA Men's World Cup,M-1950-18,Uruguay vs Spain,final round,not applicable,1,0,0,0,1950-07-09,15:00,S-023,Estádio do Pacaembu,São Paulo,Brazil,T-84,Uruguay,URY,T-73,Spain,ESP,2–2,2,2,0,0,0,0,0-0,0,0,draw,0,0,1,1950
72,WC-1950,1950 FIFA Men's World Cup,M-1950-19,Brazil vs Spain,final round,not applicable,1,0,0,0,1950-07-13,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-09,Brazil,BRA,T-73,Spain,ESP,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,1950
73,WC-1950,1950 FIFA Men's World Cup,M-1950-20,Uruguay vs Sweden,final round,not applicable,1,0,0,0,1950-07-13,15:00,S-023,Estádio do Pacaembu,São Paulo,Brazil,T-84,Uruguay,URY,T-74,Sweden,SWE,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1950
74,WC-1950,1950 FIFA Men's World Cup,M-1950-21,Sweden vs Spain,final round,not applicable,1,0,0,0,1950-07-16,15:00,S-023,Estádio do Pacaembu,São Paulo,Brazil,T-74,Sweden,SWE,T-73,Spain,ESP,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1950
75,WC-1950,1950 FIFA Men's World Cup,M-1950-22,Uruguay vs Brazil,final round,not applicable,1,0,0,0,1950-07-16,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-84,Uruguay,URY,T-09,Brazil,BRA,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1950
76,WC-1954,1954 FIFA Men's World Cup,M-1954-01,Brazil vs Mexico,group stage,Group 1,1,0,0,0,1954-06-16,18:00,S-213,Charmilles Stadium,Geneva,Switzerland,T-09,Brazil,BRA,T-46,Mexico,MEX,5–0,5,0,5,-5,0,0,0-0,0,0,home team win,1,0,0,1954
77,WC-1954,1954 FIFA Men's World Cup,M-1954-02,Yugoslavia vs France,group stage,Group 1,1,0,0,0,1954-06-16,18:00,S-214,Stade Olympique de la Pontaise,Lausanne,Switzerland,T-87,Yugoslavia,YUG,T-30,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1954
78,WC-1954,1954 FIFA Men's World Cup,M-1954-03,Austria vs Scotland,group stage,Group 3,1,0,0,0,1954-06-16,18:00,S-216,Hardturm Stadium,Zürich,Switzerland,T-05,Austria,AUT,T-64,Scotland,SCO,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1954
