tournament_id,year,team_name,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match
WC-1982,1982,France,8,1.5,0.5,0.875,1.75,0.875
WC-1982,1982,Honduras,9,1.7777777777777777,0.4444444444444444,0.7777777777777778,1.3333333333333333,0.5555555555555556
WC-1982,1982,Hungary,8,1.625,0.5,0.625,1.75,1.125
WC-1982,1982,Italy,7,1.2857142857142858,0.2857142857142857,-0.14285714285714285,1.0,1.1428571428571428
WC-1982,1982,Kuwait,12,2.1666666666666665,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666
WC-1982,1982,New Zealand,15,1.5333333333333334,0.4,1.2,2.0,0.8
WC-1982,1982,Northern Ireland,6,0.8333333333333334,0.16666666666666666,-1.6666666666666667,0.3333333333333333,2.0
WC-1982,1982,Peru,11,1.9090909090909092,0.5454545454545454,0.5454545454545454,1.2727272727272727,0.7272727272727273
WC-1982,1982,Poland,6,1.5,0.5,0.5,2.1666666666666665,1.6666666666666667
WC-1982,1982,Scotland,8,1.375,0.375,-0.125,0.875,1.0
WC-1982,1982,Soviet Union,0,,,,,
WC-1982,1982,Spain,12,1.8333333333333333,0.5,0.8333333333333334,1.5,0.6666666666666666
WC-1982,1982,West Germany,0,,,,,
WC-1982,1982,Yugoslavia,4,2.5,0.75,1.75,2.5,0.75
WC-1986,1986,Algeria,17,1.3529411764705883,0.35294117647058826,0.29411764705882354,1.2941176470588236,1.0
WC-1986,1986,Argentina,9,1.3333333333333333,0.3333333333333333,0.2222222222222222,1.2222222222222223,1.0
WC-1986,1986,Belgium,6,1.1666666666666667,0.3333333333333333,-0.5,0.8333333333333334,1.3333333333333333
WC-1986,1986,Brazil,12,2.0,0.5833333333333334,1.0833333333333333,2.0,0.9166666666666666
WC-1986,1986,Bulgaria,12,1.4166666666666667,0.4166666666666667,0.3333333333333333,1.3333333333333333,1.0
WC-1986,1986,Canada,12,1.25,0.3333333333333333,-0.75,0.8333333333333334,1.5833333333333333
WC-1986,1986,Denmark,11,1.3636363636363635,0.36363636363636365,0.18181818181818182,1.4545454545454546,1.2727272727272727
WC-1986,1986,England,13,2.230769230769231,0.6923076923076923,1.6923076923076923,2.1538461538461537,0.46153846153846156
WC-1986,1986,France,6,2.1666666666666665,0.6666666666666666,1.6666666666666667,2.0,0.3333333333333333
WC-1986,1986,Hungary,6,2.5,0.8333333333333334,1.6666666666666667,2.1666666666666665,0.5
WC-1986,1986,Iraq,17,1.588235294117647,0.4117647058823529,0.47058823529411764,1.7058823529411764,1.2352941176470589
WC-1986,1986,Italy,7,1.4285714285714286,0.42857142857142855,0.14285714285714285,1.2857142857142858,1.1428571428571428
WC-1986,1986,Mexico,23,1.7826086956521738,0.4782608695652174,0.43478260869565216,1.173913043478261,0.7391304347826086
WC-1986,1986,Morocco,13,1.3076923076923077,0.3076923076923077,0.23076923076923078,0.8461538461538461,0.6153846153846154
WC-1986,1986,Northern Ireland,6,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
WC-1986,1986,Paraguay,17,1.9411764705882353,0.5294117647058824,1.0,1.7647058823529411,0.7647058823529411
WC-1986,1986,Poland,9,0.6666666666666666,0.1111111111111111,-0.7777777777777778,0.5555555555555556,1.3333333333333333
WC-1986,1986,Portugal,6,1.6666666666666667,0.5,0.16666666666666666,1.3333333333333333,1.1666666666666667
WC-1986,1986,Scotland,8,1.625,0.375,0.625,1.0,0.375
WC-1986,1986,South Korea,16,1.9375,0.625,1.125,2.0,0.875
WC-1986,1986,Soviet Union,0,,,,,
WC-1986,1986,Spain,7,2.7142857142857144,0.8571428571428571,1.7142857142857142,2.0,0.2857142857142857
WC-1986,1986,Uruguay,6,1.0,0.16666666666666666,-0.16666666666666666,1.0,1.1666666666666667
WC-1986,1986,West Germany,0,,,,,
WC-1990,1990,Argentina,13,1.1538461538461537,0.23076923076923078,-0.3076923076923077,0.46153846153846156,0.7692307692307693
WC-1990,1990,Austria,11,2.0,0.5454545454545454,0.6363636363636364,1.5454545454545454,0.9090909090909091
WC-1990,1990,Belgium,10,1.7,0.4,0.9,1.7,0.8
WC-1990,1990,Brazil,22,2.0,0.5909090909090909,1.0,1.6363636363636365,0.6363636363636364
WC-1990,1990,Cameroon,15,1.9333333333333333,0.6,0.26666666666666666,1.1333333333333333,0.8666666666666667
WC-1990,1990,Colombia,21,1.5238095238095237,0.38095238095238093,0.23809523809523808,1.0476190476190477,0.8095238095238095
WC-1990,1990,Costa Rica,8,1.5,0.5,0.0,1.125,1.125
WC-1990,1990,Czechoslovakia,9,1.2222222222222223,0.3333333333333333,0.1111111111111111,1.0,0.8888888888888888
WC-1990,1990,Egypt,25,1.4,0.36,0.04,0.72,0.68
WC-1990,1990,England,9,1.7777777777777777,0.4444444444444444,0.4444444444444444,1.1111111111111112,0.6666666666666666
WC-1990,1990,Italy,8,1.625,0.375,0.625,0.75,0.125
WC-1990,1990,Netherlands,8,1.375,0.375,0.375,1.5,1.125
WC-1990,1990,Republic of Ireland,8,2.25,0.625,1.25,1.5,0.25
WC-1990,1990,Romania,11,1.4545454545454546,0.36363636363636365,0.18181818181818182,1.4545454545454546,1.2727272727272727
WC-1990,1990,Scotland,8,1.0,0.25,-0.75,0.875,1.625
WC-1990,1990,South Korea,13,1.5384615384615385,0.38461538461538464,0.15384615384615385,1.0,0.8461538461538461
WC-1990,1990,Soviet Union,0,,,,,
WC-1990,1990,Spain,7,2.2857142857142856,0.7142857142857143,1.0,1.8571428571428572,0.8571428571428571
WC-1990,1990,Sweden,12,1.75,0.5,0.5,1.9166666666666667,1.4166666666666667
WC-1990,1990,United Arab Emirates,17,1.0,0.17647058823529413,-0.7647058823529411,0.7058823529411765,1.4705882352941178
WC-1990,1990,United States,21,1.5714285714285714,0.47619047619047616,0.19047619047619047,1.2857142857142858,1.0952380952380953
WC-1990,1990,Uruguay,22,1.7272727272727273,0.5,0.7727272727272727,1.4545454545454546,0.6818181818181818
WC-1990,1990,West Germany,0,,,,,
WC-1990,1990,Yugoslavia,12,1.5833333333333333,0.4166666666666667,0.3333333333333333,1.1666666666666667,0.8333333333333334
WC-1991,1991,Brazil,0,,,,,
WC-1991,1991,China,0,,,,,
WC-1991,1991,Chinese Taipei,0,,,,,
WC-1991,1991,Denmark,0,,,,,
WC-1991,1991,Germany,0,,,,,
WC-1991,1991,Italy,0,,,,,
WC-1991,1991,Japan,0,,,,,
WC-1991,1991,New Zealand,0,,,,,
WC-1991,1991,Nigeria,0,,,,,
WC-1991,1991,Norway,0,,,,,
WC-1991,1991,Sweden,0,,,,,
WC-1991,1991,United States,0,,,,,
WC-1994,1994,Argentina,21,1.6666666666666667,0.42857142857142855,0.19047619047619047,1.2380952380952381,1.0476190476190477
WC-1994,1994,Belgium,5,1.4,0.4,0.2,1.2,1.0
WC-1994,1994,Bolivia,24,1.25,0.2916666666666667,0.125,1.25,1.125
WC-1994,1994,Brazil,21,2.0,0.5714285714285714,1.6666666666666667,2.3333333333333335,0.6666666666666666
WC-1994,1994,Bulgaria,7,1.5714285714285714,0.2857142857142857,0.5714285714285714,1.7142857142857142,1.1428571428571428
WC-1994,1994,Cameroon,11,1.6363636363636365,0.45454545454545453,0.7272727272727273,1.4545454545454546,0.7272727272727273
WC-1994,1994,Colombia,23,2.0,0.5217391304347826,1.0,1.434782608695652,0.43478260869565216
WC-1994,1994,Germany,12,2.1666666666666665,0.6666666666666666,1.3333333333333333,2.0833333333333335,0.75
WC-1994,1994,Greece,9,1.3333333333333333,0.3333333333333333,-0.3333333333333333,1.1111111111111112,1.4444444444444444
WC-1994,1994,Italy,8,2.25,0.75,1.0,1.5,0.5
WC-1994,1994,Mexico,27,1.7777777777777777,0.48148148148148145,1.2962962962962963,2.1481481481481484,0.8518518518518519
WC-1994,1994,Morocco,14,1.8571428571428572,0.5,0.5714285714285714,1.4285714285714286,0.8571428571428571
WC-1994,1994,Netherlands,9,2.4444444444444446,0.7777777777777778,2.4444444444444446,3.111111111111111,0.6666666666666666
WC-1994,1994,Nigeria,17,1.7647058823529411,0.47058823529411764,1.0588235294117647,1.9411764705882353,0.8823529411764706
WC-1994,1994,Norway,12,1.75,0.5,0.9166666666666666,1.5833333333333333,0.6666666666666666
